
 searching for minimum in rosen
    1 3.00000 1.50000 1.50000  298.31247
    2 2.77778 1.83333 2.27778  203.32089
    3 3.01852 1.22222 2.51852  199.47829
    4 4.79630 1.55556 1.29630  154.85888
    5 4.06173 1.57407 2.56173   79.48997
    6 4.06173 1.57407 2.56173   79.48997
    7 6.31344 1.57613 1.36900   65.31708
    8 5.54710 1.25652 2.63969   39.82307
    9 5.22367 1.26840 2.08169   19.71283
   10 5.22367 1.26840 2.08169   19.71283
   11 5.22367 1.26840 2.08169   19.71283
   12 5.14374 1.26600 2.60098   15.95957
   13 4.77952 0.94407 3.03200   10.11497
   14 4.58410 1.12350 2.94038    9.73777
   15 5.02973 1.18980 2.46974    5.74868
   16 5.02973 1.18980 2.46974    5.74868
   17 4.82052 1.05357 2.86894    5.45396
   18 5.29657 1.15600 2.42374    5.26060
   19 5.00985 1.15451 2.64749    3.86463
   20 5.05491 1.05292 2.82371    3.11496
   21 5.05491 1.05292 2.82371    3.11496
   22 5.05491 1.05292 2.82371    3.11496
   23 5.05491 1.05292 2.82371    3.11496
   24 5.05491 1.05292 2.82371    3.11496
   25 5.20109 1.08425 2.68520    3.07401
   26 5.20109 1.08425 2.68520    3.07401
   27 5.13806 1.10391 2.66631    3.03377
   28 5.11354 1.07730 2.74436    2.97635
   29 5.11354 1.07730 2.74436    2.97635
   30 5.11354 1.07730 2.74436    2.97635
   31 5.11354 1.07730 2.74436    2.97635
   32 5.11354 1.07730 2.74436    2.97635
   33 5.11354 1.07730 2.74436    2.97635
   34 5.14563 1.08920 2.70770    2.97510
   35 5.14563 1.08920 2.70770    2.97510
   36 5.13845 1.08257 2.72110    2.97169
   37 5.12390 1.08110 2.73133    2.97069
   38 5.12734 1.08360 2.72308    2.97067
Minimum found at:
   39 5.13776 1.08581 2.71644    2.97061
first row = step number,  second row = A,  third row = B,  fourth row = T,  fifth row = R_squared(A,B,T)
number of iterations = 39
