x    y[0]     y[1]     y[2]     
       2           0           0           0
    2.01      7.4633        2.02     0.69813
  2.0457      7.7348      2.0925     0.71575
  2.1034      8.1943      2.2122     0.74357
  2.1726      8.7809        2.36     0.77591
  2.2465      9.4548      2.5234     0.80938
  2.3223      10.199      2.6964     0.84254
  2.3985      11.007      2.8765     0.87486
  2.4749       11.88      3.0625      0.9062
  2.5511      12.822      3.2542     0.93654
  2.6272      13.835      3.4512     0.96593
  2.7031      14.927      3.6535     0.99442
  2.7789      16.101      3.8611       1.022
  2.8544      17.364      4.0738      1.0489
  2.9298      18.724      4.2918      1.0749
   3.005      20.186       4.515      1.1003
  3.0801       21.76      4.7434      1.1249
   3.155      23.452      4.9769       1.149
  3.2298      25.273      5.2157      1.1724
  3.3044      27.232      5.4595      1.1953
  3.3789      29.339      5.7086      1.2176
  3.4533      31.606      5.9628      1.2393
  3.5276      34.044      6.2221      1.2606
  3.6018      36.666      6.4866      1.2814
  3.6759      39.486      6.7563      1.3018
    3.75      42.519      7.0311      1.3217
  3.8239      45.782      7.3111      1.3413
  3.8977      49.291      7.5962      1.3604
  3.9715      53.065      7.8864      1.3791
  4.0452      57.123      8.1819      1.3975
  4.1189      61.489      8.4825      1.4156
  4.1924      66.184      8.7883      1.4333
   4.266      71.233      9.0992      1.4507
  4.3394      76.663      9.4153      1.4677
  4.4128      82.504      9.7366      1.4845
  4.4862      88.785      10.063       1.501
  4.5595       95.54      10.395      1.5172
  4.6328       102.8      10.732      1.5332
  4.7061      110.62      11.074      1.5489
  4.7793      119.02      11.421      1.5643
  4.8525      128.06      11.773      1.5795
  4.9256      137.78      12.131      1.5945
  4.9988      148.23      12.494      1.6092
  5.0719      159.47      12.862      1.6237
  5.1449      171.56      13.235       1.638
   5.218      184.56      13.614      1.6521
   5.291      198.55      13.997       1.666
   5.364      213.59      14.386      1.6797
   5.437      229.76      14.781      1.6932
    5.51      247.16       15.18      1.7066
   5.583      265.86      15.585      1.7197
  5.6559      285.98      15.995      1.7327
  5.7289      307.62       16.41      1.7455
  5.8018      330.89       16.83      1.7582
  5.8747      355.92      17.256      1.7707
  5.9476      382.84      17.687       1.783
  6.0205      411.79      18.123      1.7952
  6.0934      442.92      18.565      1.8072
  6.1663      476.41      19.011      1.8191
  6.2391      512.42      19.463      1.8308
   6.312      551.15      19.921      1.8425
  6.3849       592.8      20.383      1.8539
  6.4577       637.6      20.851      1.8653
  6.5306      685.78      21.324      1.8765
  6.6034       737.6      21.802      1.8876
  6.6762      793.32      22.286      1.8986
  6.7491      853.26      22.775      1.9094
  6.8219      917.72      23.269      1.9201
  6.8947      987.04      23.769      1.9308
  6.9675      1061.6      24.273      1.9413
  7.0404      1141.8      24.783      1.9517
  7.1132        1228      25.299      1.9619
   7.186      1320.8      25.819      1.9721
  7.2588      1420.5      26.345      1.9822
  7.3316      1527.8      26.876      1.9922
  7.4044      1643.2      27.413      2.0021
  7.4772      1767.3      27.954      2.0119
    7.55      1900.7      28.501      2.0215
  7.6228      2044.3      29.054      2.0311
  7.6956      2198.7      29.611      2.0406
  7.7684      2364.7      30.174      2.0501
  7.8412      2543.2      30.742      2.0594
   7.914      2735.3      31.316      2.0686
  7.9868      2941.8      31.894      2.0778
  8.0596      3163.9      32.478      2.0869
  8.1324      3402.8      33.068      2.0959
  8.2052      3659.8      33.662      2.1048
  8.2779      3936.1      34.262      2.1136
  8.3507      4233.3      34.867      2.1223
  8.4235      4552.9      35.478       2.131
  8.4963      4896.6      36.094      2.1396
  8.5691      5266.4      36.715      2.1482
  8.6419        5664      37.341      2.1566
  8.7147      6091.6      37.973       2.165
  8.7875      6551.5       38.61      2.1733
  8.8602      7046.1      39.252      2.1816
   8.933      7578.1      39.899      2.1898
  9.0058      8150.3      40.552      2.1979
  9.0786      8765.6       41.21      2.2059
  9.1514      9427.4      41.874      2.2139
  9.2242       10139      42.543      2.2218
  9.2969       10905      43.217      2.2297
  9.3697       11728      43.896      2.2375
  9.4425       12613       44.58      2.2452
  9.5153       13566       45.27      2.2529
  9.5881       14590      45.966      2.2605
  9.6609       15691      46.666      2.2681
  9.7336       16876      47.372      2.2756
  9.8064       18150      48.083       2.283
  9.8792       19520      48.799      2.2904
   9.952       20994      49.521      2.2978
  10.025       22579      50.248      2.3051
